COD_LOC,NOMBRE_LOC,CP,POBLACION,OFICINA,PROVINCIA,COD_PROY,ID_EVALUACION,Fecha de ejecucion,COD_AUDITOR,RESULTADO,TITULO_CUESTIONARIO
S38,Pl. de España,35007,Las Palmas de Gran Canaria,922,"PALMAS, LAS",0133_001,2004635,5/26/14,32215,0.9714,Saba_cuestionario MS
S39,Santa Catalina,35007,Las Palmas de Gran Canaria,922,"PALMAS, LAS",0133_001,2004636,5/26/14,32215,0.9946,Saba_cuestionario MS
S40,Edificios Múltiples,35003,Las Palmas de Gran Canaria,922,"PALMAS, LAS",0133_001,2004637,5/25/14,32368,0.8494,Saba_cuestionario MS
IT05109,GANDÍA,46701,GANDÍA,922,VALENCIA,0010_003,2004652,5/21/14,29220,0.9032,Check iL Tempietto (0114)
917,"TOTALFAN, S.L.",37500,CIUDAD RODRIGO,922,SALAMANCA,0457_003,2004653,5/23/14,R01127,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1471a,"TOTALFAN, S.L.",37005,SALAMANCA,922,SALAMANCA,0457_003,2004654,5/23/14,R02615,0.9,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
171b,STA MARTA DE TORMES - CC El Tormes,37900,Santa Marta de Tormes,922,SALAMANCA,0457_002,2004655,5/23/14,R01127,0.9,MYSTERY SHOPPER FFQQ P1 (MAY_14)
369,GA.SALA.BºVIDAL,37006,SALAMANCA,922,SALAMANCA,0045_001,2004657,5/23/14,R02615,0.942,Cuestionario Gadis nuevas ponderaciones
40,Salamanca,37004,SALAMANCA,922,SALAMANCA,0457_001,2004658,5/23/14,R02615,1,MYSTERY SHOPPER TTPP P1 (MAY_14)
019003P,GARBU MOTOR,19004,GUADALAJARA,922,GUADALAJARA,0346_003,2004705,6/2/14,2645,0.7268,Servicios oficiales Peugeot
019775M,TALLERES ROCIMACAR,19200,AZUQUECA DE HENARES,922,GUADALAJARA,0346_003,2004706,5/28/14,2645,0.6519,Servicios oficiales Peugeot
362,ORANGE MOBILE,39001,SANTANDER,922,CANTABRIA,0457_003,2004710,5/21/14,A02741,0.9708,RESUMEN ESPECIALISTAS PEC - P1 (14.15)
362,ORANGE MOBILE,39001,SANTANDER,922,CANTABRIA,0457_003,2004711,5/21/14,A02741,1,ESPECIALISTAS NUEVA IMAGEN - P1 (14.15)
362,ORANGE MOBILE,39001,SANTANDER,922,CANTABRIA,0457_003,2004712,5/21/14,A02741,1,ESPECIALISTAS PROCESOS - P1 (14.15)
1514,"AUSARTA MEDIA, S.L.",39004,Santander,922,CANTABRIA,0457_003,2004713,5/21/14,A02747,0.9042,RESUMEN ESPECIALISTAS PEC - P1 (14.15)
1514,"AUSARTA MEDIA, S.L.",39004,Santander,922,CANTABRIA,0457_003,2004714,5/21/14,A02747,1,ESPECIALISTAS PROCESOS - P1 (14.15)
1514,"AUSARTA MEDIA, S.L.",39004,Santander,922,CANTABRIA,0457_003,2004715,5/21/14,A02747,1,ESPECIALISTAS ANTIGUA IMAGEN (FQ) - P1 (14.15)
959,COMUNICACIONES URTEL S.L.,39300,TORRELAVEGA,922,CANTABRIA,0457_003,2004716,5/21/14,A02747,0.9533,RESUMEN ESPECIALISTAS PEC - P1 (14.15)
959,COMUNICACIONES URTEL S.L.,39300,TORRELAVEGA,922,CANTABRIA,0457_003,2004717,5/21/14,A02747,1,ESPECIALISTAS NUEVA IMAGEN - P1 (14.15)
959,COMUNICACIONES URTEL S.L.,39300,TORRELAVEGA,922,CANTABRIA,0457_003,2004718,5/21/14,A02747,0.975,ESPECIALISTAS PROCESOS - P1 (14.15)
145,STAND -  CARREFOUR TORRELAVEGA,39000,TORRELAVEGA,922,CANTABRIA,0457_004,2004719,5/21/14,A02741,0.9917,RESUMEN CONSUMO PEC P1 (14.15)
145,STAND -  CARREFOUR TORRELAVEGA,39000,TORRELAVEGA,922,CANTABRIA,0457_004,2004720,5/21/14,A02741,1,CONSUMO IMAGEN CARREFOUR - P1 (14.15)
145,STAND -  CARREFOUR TORRELAVEGA,39000,TORRELAVEGA,922,CANTABRIA,0457_004,2004721,5/21/14,A02741,1,CONSUMO PROCESOS - P1 (14.15)
S32,Las Mercedes,48930,Getxo (Bizkaia),922,VIZCAYA,0133_001,2004722,5/28/14,32384,0.8842,Saba_cuestionario MS
S32,Las Mercedes,48930,Getxo (Bizkaia),922,VIZCAYA,0133_001,2004723,6/6/14,34105,0.9,Saba_cuestionario MS
42,PUNTA DEL REY,38520,Las Caletillas,922,SANTA CRUZ DE TENERIFE,0458_001,2004728,6/6/14,34090,0.916,Cuestionario MGuest_Estandar_vacacional_2014 v1
TEST,TEST,28000,TEST,922,MADRID,0100_01,2004733,5/21/14,TEST,0,Pruebas del bug 4316
69,MITEXNO S.L.,8028,BARCELONA,922,BARCELONA,0457_003,2004735,5/20/14,29818,0.5467,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
0460b,"GRUPCOM RETAIL,  S.L.",25600,BALAGUER,922,LLEIDA,0457_003,2004736,5/26/14,32716,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
S062,FH LEÓN,24010,LEÓN,922,LEON,0010_001,2004739,5/25/14,34168,0.763,Cuestionario Foster's Hollywood (May_14)
539,539,8019,BARCELONA,922,BARCELONA,0197_002,2004740,5/22/14,R29502,0.85,DIA SABADELL COMPRA PROGRAMADA
105,FERIAL PLAZA,19002,GUADALAJARA,922,GUADALAJARA,0101_001,2004741,6/9/14,R00028,0.8995,Cuestionario Paco Martinez
88,LAS CAMARETAS -88-,42190,GOLMAYO,922,SORIA,0101_001,2004742,5/31/14,33642,0.7772,Cuestionario Paco Martinez
57,IMPERIAL PLAZA,50197,ZARAGOZA,922,ZARAGOZA,0101_001,2004743,6/10/14,R00096,1,Cuestionario Paco Martinez
A-BA21,Lavazza /  A-BA21,28000,Madrid,922,MADRID,0201_001,2004744,5/21/14,R01127,0.01,Areas Compra Programada_Abril_2012
123,LA GAVIA,28051,MADRID,922,MADRID,0101_001,2004745,6/2/14,31389,0.4829,Cuestionario Paco Martinez
61,EL FERIAL -12-,28980,PARLA,922,MADRID,0101_001,2004746,5/30/14,34243,0.7272,Cuestionario Paco Martinez
67,ISLAZUL,28054,MADRID,922,MADRID,0101_001,2004747,6/12/14,33289,0.67,Cuestionario Paco Martinez
91,PLENILUNIO -91-,28022,MADRID,922,MADRID,0101_001,2004748,5/29/14,34134,0.8366,Cuestionario Paco Martinez
OP007,"VEPISA VEHÍCULOS, S.L.",47610,ZARATÁN,922,VALLADOLID,0524_004,2004749,5/27/14,R02048,0.7375,Cuestionario Comp. Seat Ibiza 2º Trim 2014
018260E,"TALLERES A. PEREZ ENTRENA E HIJOS, SL",18260,ILLORA,922,GRANADA,0346_003,2004754,5/30/14,30332,0.6867,Servicios oficiales Peugeot
1546,STAND -- EXPERIS ECI PRINCESA II,28008,MADRID,922,MADRID,0457_003,2004755,5/26/14,30386,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1417,"PUNZON BIEZMA, S.L",45400,MORA,922,TOLEDO,0457_003,2004764,5/21/14,R02048,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
29,TRAVESSERA DE LES CORTS_DORMITY,8029,Barcelona,922,BARCELONA,0504_01,2004766,5/21/14,31056,0.9155,CUESTIONARIO DORMITY_2014
29,TRAVESSERA DE LES CORTS_DORMITY,8029,Barcelona,922,BARCELONA,0504_01,2004767,5/22/14,30260,1,CUESTIONARIO DORMITY_2014
29,TRAVESSERA DE LES CORTS_DORMITY,8029,Barcelona,922,BARCELONA,0504_01,2004768,5/22/14,31082,0.7617,CUESTIONARIO DORMITY_2014
12034,Nuria Rodrigo Garcia,19001,Guadalajara,922,GUADALAJARA,0248_001,2004769,5/27/14,R02042,0.8896,Cuestionario Modelo Estandar
11,Verdecora Majadahonda,28220,Madrid,922,MADRID,0148_001,2004770,5/26/14,R02031,0.72,Cuestionario Gardens Secciones
11,Verdecora Majadahonda,28220,Madrid,922,MADRID,0148_001,2004771,5/26/14,R00096,1,Cuestionario Gardens Secciones
11,Verdecora Majadahonda,28220,Madrid,922,MADRID,0148_001,2004772,5/26/14,R00096,1,Cuestionario Gardens Secciones
11,Verdecora Majadahonda,28220,Madrid,922,MADRID,0148_001,2004773,5/26/14,R00096,1,Cuestionario Gardens Secciones
11,Verdecora Majadahonda,28220,Madrid,922,MADRID,0148_001,2004774,5/26/14,R02031,1,Cuestionario Gardens Cajas
10,Verdecora Torrelodones,28250,Torrelodones,922,MADRID,0148_001,2004775,6/26/14,R02031,0.92,Cuestionario Gardens Secciones
10,Verdecora Torrelodones,28250,Torrelodones,922,MADRID,0148_001,2004776,5/26/14,R00096,0.96,Cuestionario Gardens Secciones
10,Verdecora Torrelodones,28250,Torrelodones,922,MADRID,0148_001,2004777,5/26/14,R02031,0.92,Cuestionario Gardens Secciones
10,Verdecora Torrelodones,28250,Torrelodones,922,MADRID,0148_001,2004778,5/26/14,R00096,1,Cuestionario Gardens Secciones
10,Verdecora Torrelodones,28250,Torrelodones,922,MADRID,0148_001,2004779,5/26/14,R00096,1,Cuestionario Gardens Cajas
