COD_LOC,NOMBRE_LOC,CP,POBLACION,OFICINA,PROVINCIA,COD_PROY,ID_EVALUACION,Fecha de ejecucion,COD_AUDITOR,RESULTADO,TITULO_CUESTIONARIO
OP012,MOTOR REPRIS AUTOMOCIÓ,8015,BARCELONA,911,BARCELONA,0524_004,1970980,3/3/14,33133,0.6474,Cuestionario Comp. Seat León ST 1º Trim 2014
798,Tienda PHONE HOUSE CC N4(Ecija) WL,41400,ECIJA,911,SEVILLA,0109_001,1970982,3/3/14,r00063,0.24,Check TPH 2014
859,Tienda  PHONE HOUSE - Miguel Cervantes F,41400,ECIJA,911,SEVILLA,0109_001,1970987,3/3/14,r00063,0.5207,Check TPH 2014
717,"SERVITEL XXI, S.L",41600,ARAHAL,911,SEVILLA,0457_003,1970995,3/3/14,a02401,0.8692,RESUMEN ESPECIALISTAS PEC - P6 (13.14)
717,"SERVITEL XXI, S.L",41600,ARAHAL,911,SEVILLA,0457_003,1970996,3/3/14,a02401,0.9111,ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
717,"SERVITEL XXI, S.L",41600,ARAHAL,911,SEVILLA,0457_003,1970997,3/3/14,a02401,0.9833,ESPECIALISTAS PROCESOS - P6 (13.14)
1051,VISASUR TELECOMUNICACIONES S.L,41530,MORÓN DE LA FRONTERA,911,SEVILLA,0457_003,1970998,3/3/14,a02401,0.9238,RESUMEN ESPECIALISTAS PEC - P6 (13.14)
1051,VISASUR TELECOMUNICACIONES S.L,41530,MORÓN DE LA FRONTERA,911,SEVILLA,0457_003,1970999,3/3/14,a02401,1,ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
1051,VISASUR TELECOMUNICACIONES S.L,41530,MORÓN DE LA FRONTERA,911,SEVILLA,0457_003,1971000,3/3/14,a02401,0.9758,ESPECIALISTAS PROCESOS - P6 (13.14)
0530a,"PABLO SANCHEZ XXI, S.L.",41620,MARCHENA,911,SEVILLA,0457_003,1971001,3/3/14,a02401,0.9023,RESUMEN ESPECIALISTAS PEC - P6 (13.14)
0530a,"PABLO SANCHEZ XXI, S.L.",41620,MARCHENA,911,SEVILLA,0457_003,1971002,3/3/14,a02401,1,ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
0530a,"PABLO SANCHEZ XXI, S.L.",41620,MARCHENA,911,SEVILLA,0457_003,1971003,3/3/14,a02401,0.9925,ESPECIALISTAS PROCESOS - P6 (13.14)
8157,Tienda  PHONE HOUSE - Manuel Rojas 7F,41620,MARCHENA,911,SEVILLA,0109_001,1971004,3/3/14,r02401,0.28,Check TPH 2014
8101,"Tienda PHONE HOUSE Moron, Luis Daoiz 15 F",41530,MORÓN DE LA FRONTERA,911,SEVILLA,0109_001,1971006,3/3/14,r02401,0.15,Check TPH 2014
219,Tienda PHONE HOUSE CC Los Molinos (Utrera),41710,UTRERA,911,SEVILLA,0109_001,1971007,3/3/14,r02401,0.28,Check TPH 2014
70,STAND -  CARREFOUR DOS HERMANAS,41000,DOS HERMANAS,911,SEVILLA,0457_004,1971008,3/3/14,a02408,0.936,RESUMEN CONSUMO PEC P6 (13.14)
70,STAND -  CARREFOUR DOS HERMANAS,41000,DOS HERMANAS,911,SEVILLA,0457_004,1971009,3/3/14,a02408,1,CONSUMO IMAGEN CARREFOUR - P6 (13.14)
70,STAND -  CARREFOUR DOS HERMANAS,41000,DOS HERMANAS,911,SEVILLA,0457_004,1971010,3/3/14,a02408,1,CONSUMO PROCESOS - P6 (13.14)
58,"GSM BAHIA, S.L.U.",41700,DOS HERMANAS,911,SEVILLA,0457_003,1971011,3/3/14,a02408,0.8878,RESUMEN ESPECIALISTAS PEC - P6 (13.14)
58,"GSM BAHIA, S.L.U.",41700,DOS HERMANAS,911,SEVILLA,0457_003,1971012,3/3/14,a02408,1,ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
58,"GSM BAHIA, S.L.U.",41700,DOS HERMANAS,911,SEVILLA,0457_003,1971013,3/3/14,a02408,1,ESPECIALISTAS PROCESOS - P6 (13.14)
398,VISASUR TELECOMUNICACIONES S.L,41500,DOS HERMANAS,911,SEVILLA,0457_003,1971014,3/3/14,a02408,0.8514,RESUMEN ESPECIALISTAS PEC - P6 (13.14)
398,VISASUR TELECOMUNICACIONES S.L,41500,DOS HERMANAS,911,SEVILLA,0457_003,1971015,3/3/14,a02408,1,ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
398,VISASUR TELECOMUNICACIONES S.L,41500,DOS HERMANAS,911,SEVILLA,0457_003,1971016,3/3/14,a02408,0.8425,ESPECIALISTAS PROCESOS - P6 (13.14)
658,VISASUR TELECOMUNICACIONES S.L,41089,DOS HERMANAS,911,SEVILLA,0457_003,1971017,3/3/14,a02408,0.8799,RESUMEN ESPECIALISTAS PEC - P6 (13.14)
658,VISASUR TELECOMUNICACIONES S.L,41089,DOS HERMANAS,911,SEVILLA,0457_003,1971018,3/3/14,a02408,0.9419,ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
658,VISASUR TELECOMUNICACIONES S.L,41089,DOS HERMANAS,911,SEVILLA,0457_003,1971019,3/3/14,a02408,0.9925,ESPECIALISTAS PROCESOS - P6 (13.14)
MAD 6,ATOCHA,28045,Madrid,911,MADRID,0263_001,1971020,2/28/14,R31755,0.7572,Cuestionario Crystal Octubre 2012
R-CH2,The Sweet Market /  R-CH2,28036,Madrid,911,MADRID,0201_001,1971021,2/28/14,R31755,0.01,Areas Compra Programada_Abril_2012
R-CH1,Divers /  R-CH1,28036,Madrid,911,MADRID,0201_001,1971022,2/28/14,R31755,0.01,Areas Compra Programada_Abril_2012
H-LP01,HOSP. LA PAZ CARMEN,28046,Madrid,911,MADRID,0201_001,1971023,2/28/14,R31755,0.01,Areas Compra Programada_Abril_2012
R-AT4,Natural Break /  R-AT4,28000,Madrid,911,MADRID,0201_001,1971024,2/28/14,R31755,0.01,Areas Compra Programada_Abril_2012
R-AT1,The Sweet Market /  R-AT1,28000,Madrid,911,MADRID,0201_001,1971025,2/28/14,R31755,0.01,Areas Compra Programada_Abril_2012
