COD_LOC,NOMBRE_LOC,CP,POBLACION,OFICINA,PROVINCIA,COD_PROY,ID_EVALUACION,Fecha de ejecucion,COD_AUDITOR,RESULTADO,TITULO_CUESTIONARIO
887,PHONOCENTER SHOP 2006 SL,23100,JODAR,SGS,JAEN,0457_003,2012134,6/13/14,33005,0.9,MYSTERY SHOPPER SERVICIO ESPECIALISTA P2 (JUN_14 )
37,COPENHAGUE,99999,Copenhague,SGS,EXTRANJERO,0052_001,2012158,6/14/14,HOSS_DE,0.5362,Check_Hoss_Intropia
675,GA.ARTEIXO 2,15142,ARTEIXO,SGS,A CORUÑA,0045_001,2012195,6/13/14,R00004,0.903,Cuestionario Gadis nuevas ponderaciones
0693a,VISASUR TELECOMUNICACIONES S.L,11408,Jerez de la Frontera,SGS,CADIZ,0457_003,2012197,6/10/14,32670,0.95,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
0937a,VISASUR TELECOMUNICACIONES S.L,11510,PUERTO REAL,SGS,CADIZ,0457_003,2012198,6/12/14,73,0.85,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
0930a,VISASUR TELECOMUNICACIONES S.L,11130,CHICLANA,SGS,CADIZ,0457_003,2012199,6/11/14,73,1,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
0932a,VISASUR TELECOMUNICACIONES S.L,11406,JEREZ DE LA FRONTERA,SGS,CADIZ,0457_003,2012200,6/11/14,2423,0.78,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
813,GA.TEO,15866,SAN XOAN DE CALO-TEO,SGS,A CORUÑA,0045_001,2012201,6/13/14,33466,0.861,Cuestionario Gadis nuevas ponderaciones
159,GA. CACHEIRAS,15883,TEO,SGS,A CORUÑA,0045_001,2012202,6/13/14,33466,0.937,Cuestionario Gadis nuevas ponderaciones
683,GA.SA.FERNANDO III,15706,SANTIAGO,SGS,A CORUÑA,0045_001,2012203,6/13/14,33466,0.889,Cuestionario Gadis nuevas ponderaciones
1624,"VENTIS TELECOM, S.L.",18005,GRANADA,SGS,GRANADA,0457_003,2012205,6/13/14,34016,0.5333,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
0095a,CHANNEL DT,11160,BARBATE,SGS,CADIZ,0457_003,2012206,6/14/14,33434,0.9,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
I001241,LOS BARRIOS II,11370,ALGECIRAS,SGS,CADIZ,0010_005,2012231,6/15/14,33434,1,Cuestionario Burger King Zena (0114)
SEP_1248,ISLAZUL,28054,Carabanchel,SGS,MADRID,0020_002,2012237,6/11/14,524,0.8887,Sephora
SEP_1248,ISLAZUL,28054,Carabanchel,SGS,MADRID,0020_002,2012238,6/12/14,524,0.8729,Sephora
SEP_1381,LA GAVIA,28051,Madrid,SGS,MADRID,0020_002,2012241,6/11/14,524,0.98,Sephora
SEP_1381,LA GAVIA,28051,Madrid,SGS,MADRID,0020_002,2012242,6/13/14,524,0.81,Sephora
SEP_1389,PLAZA NORTE,28700,S.S. de los Reyes,SGS,MADRID,0020_002,2012243,6/12/14,524,0.8836,Sephora
SEP_1389,PLAZA NORTE,28700,S.S. de los Reyes,SGS,MADRID,0020_002,2012244,6/13/14,524,0.8771,Sephora
SEP_1492,QUEVEDO,28010,Madrid,SGS,MADRID,0020_002,2012245,6/10/14,33014,0.8534,Sephora
SEP_1492,QUEVEDO,28010,Madrid,SGS,MADRID,0020_002,2012246,6/11/14,33014,0.7709,Sephora
SEP_1586,VALLADOLID LA FLECHA,47014,Arroyo de la Encomienda,SGS,VALLADOLID,0020_002,2012249,6/10/14,642,0.8264,Sephora
SEP_1621,MADRID GRAN VÍA,28013,Madrid,SGS,MADRID,0020_002,2012251,6/10/14,33014,0.6782,Sephora
SEP_1621,MADRID GRAN VÍA,28013,Madrid,SGS,MADRID,0020_002,2012252,6/11/14,33014,0.8257,Sephora
SEP_304,ZARAGOZA,50004,Zaragoza,SGS,ZARAGOZA,0020_002,2012259,6/11/14,33641,0.8817,Sephora
SEP_304,ZARAGOZA,50004,Zaragoza,SGS,ZARAGOZA,0020_002,2012260,6/12/14,33641,0.71,Sephora
SEP_309,AGUILERA,28015,Madrid,SGS,MADRID,0020_002,2012263,6/11/14,29109,0.9229,Sephora
SEP_309,AGUILERA,28015,Madrid,SGS,MADRID,0020_002,2012264,6/12/14,29109,0.6971,Sephora
SEP_311,VELÁZQUEZ,28001,Madrid,SGS,MADRID,0020_002,2012267,6/11/14,29109,0.8496,Sephora
SEP_311,VELÁZQUEZ,28001,Madrid,SGS,MADRID,0020_002,2012268,6/12/14,29109,0.6938,Sephora
SEP_319,PUERTA DEL SOL,28013,Madrid,SGS,MADRID,0020_002,2012273,6/11/14,33014,0.6563,Sephora
SEP_319,PUERTA DEL SOL,28013,Madrid,SGS,MADRID,0020_002,2012274,6/13/14,33014,0.7914,Sephora
