COD_LOC,NOMBRE_LOC,CP,POBLACION,OFICINA,PROVINCIA,COD_PROY,ID_EVALUACION,Fecha de ejecucion,COD_AUDITOR,RESULTADO,TITULO_CUESTIONARIO
4168,SANT CUGAT,8190,SANT CUGAT DEL VALLÉS,917,BARCELONA,0569_001,1996725,5/19/14,34298,0.848,Prenatal Mystery Shopping
4168,SANT CUGAT,8190,SANT CUGAT DEL VALLÉS,917,BARCELONA,0569_001,1996726,5/19/14,34298,1,Prenatal Visual tienda
4249,BARNA-DIAGONAL MAR,8019,BARCELONA,917,BARCELONA,0569_001,1996727,5/9/14,31085,0.566,Prenatal Mystery Shopping
4249,BARNA-DIAGONAL MAR,8019,BARCELONA,917,BARCELONA,0569_001,1996728,5/9/14,31085,0.852,Prenatal Visual tienda
53,ALZIRA - Santos Patronos,46600,Alzira,917,VALENCIA,0457_002,1996735,5/20/14,30811,0.75,MYSTERY SHOPPER SERVICIO FFQQ P1 (MAY_14 )
257,Albacete,2002,ALBACETE,917,ALBACETE,0457_002,1996736,5/20/14,33625,0.83,MYSTERY SHOPPER SERVICIO PDV 2.0 FFQQ P1 (MAY 14)
51,VALENCIA - Amadeo de Saboya,46010,Valencia,917,VALENCIA,0457_002,1996737,5/23/14,30811,0.45,MYSTERY SHOPPER SERVICIO FFQQ P1 (MAY_14 )
181a,VALENCIA - CC El Saler,46013,Valencia,917,VALENCIA,0457_002,1996738,5/9/14,31924,0.9,MYSTERY SHOPPER SERVICIO PDV 2.0 FFQQ P1 (MAY 14)
0128a,BFB SERV. Y COMUN. ALBACETE SL,2400,HELLÍN,917,ALBACETE,0457_003,1996739,5/7/14,33653,0.8,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
285,"GRUPO MOVIL CONECTATE, S.L",2001,ALBACETE,917,ALBACETE,0457_003,1996740,5/15/14,33657,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
788,"LUALBO, S.L",2005,ALBACETE,917,ALBACETE,0457_003,1996741,5/19/14,33657,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
789,"LUALBO, S.L",2001,ALBACETE,917,ALBACETE,0457_003,1996742,5/14/14,34287,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
790,"LUALBO, S.L",2640,ALMANSA,917,ALBACETE,0457_003,1996743,5/13/14,33626,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1005,SEMATEL SERVICIOS DE TELEFONIA,2400,HELLÍN,917,ALBACETE,0457_003,1996744,5/12/14,33653,0.7167,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1016a,SEMATEL SERVICIOS DE TELEFONIA,2600,VILLAROBLEDO,917,ALBACETE,0457_003,1996745,5/3/95,66696,0.8667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1018,SEMATEL SERVICIOS DE TELEFONIA,2630,LA RODA,917,ALBACETE,0457_003,1996746,5/23/14,33626,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1593,STAND -- EXPERIS ECI ALBACETE,2002,ALBACETE,917,ALBACETE,0457_003,1996747,5/6/14,33625,0.95,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
0333a,"GRUPO LITELFONE ARAGÓN, S.L.",44600,ALCAÑIZ,917,TERUEL,0457_003,1996748,5/29/14,66704,0.8667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
172,TERUEL - Amargura,44001,Teruel,917,TERUEL,0457_002,1996749,5/27/14,66761,0.7667,MYSTERY SHOPPER FFQQ P1 (MAY_14)
0006a,"DITELE SPAIN, S.L.U",46011,VALENCIA,917,VALENCIA,0457_003,1996888,5/23/14,33238,0.7467,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
100,"FRAN  FUS, S.L.",46800,XÁTIVA,917,VALENCIA,0457_003,1996889,5/6/14,33979,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
107,"CENTRE TELEFONIC PAIPORTA, S.L",46200,PAIPORTA,917,VALENCIA,0457_003,1996890,5/8/14,31924,0.95,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
114,TALLERES CASTILLO FRASES,46160,LIRIA,917,VALENCIA,0457_003,1996891,5/20/14,31924,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
129,XUQUER TELECOMUNICACIONS,46740,CARCAIXENT,917,VALENCIA,0457_003,1996892,5/12/14,30811,0.88,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
139,"GRUPO BONATEL, S.L.U.",46970,ALACUAS,917,VALENCIA,0457_003,1996893,5/13/14,29902,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
165,"GRUPO BONATEL, S.L.U.",46460,SILLA,917,VALENCIA,0457_003,1996894,5/21/14,33625,0.95,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
0196a,"LUALBO, S.L",46007,VALENCIA,917,VALENCIA,0457_003,1996895,5/9/14,34019,0.6833,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
201,COMUNICATEL,46650,CANALS,917,VALENCIA,0457_003,1996896,5/6/14,33979,0.7667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
207,"GRUPO BONATEL, S.L.U.",46230,ALGINET,917,VALENCIA,0457_003,1996897,5/20/14,34234,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
0223a,"GRUPO BONATEL, S.L.U.",46440,ALMUSAFES,917,VALENCIA,0457_003,1996898,5/20/14,34234,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
231,"GRUPO BONATEL, S.L.U.",46450,BENIFAYÓ,917,VALENCIA,0457_003,1996899,5/21/14,33625,0.95,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
234,"GRUPO BONATEL, S.L.U.",46130,MASAMAGRELL,917,VALENCIA,0457_003,1996900,5/21/14,32669,0.7667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
243,"GRUPO BONATEL, S.L.U.",46470,CATARROJA,917,VALENCIA,0457_003,1996901,5/8/14,31924,0.95,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
250,"GRUPO BONATEL, S.L.U.",46700,GANDÍA,917,VALENCIA,0457_003,1996902,5/3/14,33992,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
310,"GRUPO BONATEL, S.L.U.",46370,CHIVA,917,VALENCIA,0457_003,1996903,5/8/14,29665,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
320,"GRUPO BONATEL, S.L.U.",46340,REQUENA,917,VALENCIA,0457_003,1996904,5/8/14,29665,0.9167,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
0322a,"LUALBO, S.L",46930,QUART DE POBLET,917,VALENCIA,0457_003,1996905,5/7/14,34234,0.4633,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
0331a,"LUALBO, S.L",46900,TORRENTE,917,VALENCIA,0457_003,1996906,5/23/14,33427,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
0373a,Gestión y Asesoramiento Anfavi,46910,BENETUSSER,917,VALENCIA,0457_003,1996907,5/8/14,34234,0.95,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
0374a,Gestión y Asesoramiento Anfavi,46940,MANISES,917,VALENCIA,0457_003,1996908,5/13/14,30811,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
0383a,Gestión y Asesoramiento Anfavi,46185,LA POBLA DE VALLBONA,917,VALENCIA,0457_003,1996909,5/20/14,31924,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
401,"GRUPO BONATEL, S.L.U.",46960,ALDAYA,917,VALENCIA,0457_003,1996910,5/6/14,33427,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
0424a,"LUALBO, S.L",46021,VALENCIA,917,VALENCIA,0457_003,1996911,5/19/14,2940,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
589,TONGAS S.L.,46680,ALGEMESÍ,917,VALENCIA,0457_003,1996912,5/21/14,34234,0.7667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
624,TALLERES CASTILLO FRASES,46980,PATERNA,917,VALENCIA,0457_003,1996913,5/9/14,31924,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
711,ABOUT LINE S.L.,46780,OLIVA,917,VALENCIA,0457_003,1996914,5/23/14,33992,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
0743a,Gestión y Asesoramiento Anfavi,46017,VALENCIA,917,VALENCIA,0457_003,1996915,5/6/14,34232,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
746,"GRUPO BONATEL, S.L.U.",46900,TORRENTE,917,VALENCIA,0457_003,1996916,5/6/14,34234,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
797,"LUALBO, S.L",46018,VALENCIA,917,VALENCIA,0457_003,1996917,5/13/14,30948,0.9,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
0817a,ABOUT LINE S.L.,46007,VALENCIA,917,VALENCIA,0457_003,1996918,5/21/14,30948,0.8167,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
962,MICHEL RADIO,46520,PUERTO DE SAGUNTO,917,VALENCIA,0457_003,1996919,5/2/14,29710,0.9167,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
