COD_LOC,NOMBRE_LOC,CP,POBLACION,OFICINA,PROVINCIA,COD_PROY,ID_EVALUACION,Fecha de ejecucion,COD_AUDITOR,RESULTADO,TITULO_CUESTIONARIO
158,Tienda  PHONE HOUSE - Michelena 10 (Pontevedra),36002,PONTEVEDRA,908,PONTEVEDRA,0109_001,1965709,2/24/14,33902,0.6207,Check TPH 2014
210,Tienda PHONE HOUSE CC Ponte Vella (Orense),32003,OURENSE,908,ORENSE,0109_001,1965710,2/28/14,29253,0.07,Check TPH 2014
224,Tienda PHONE HOUSE Real 40 (Coruña),15003,A CORUÑA,908,A CORUÑA,0109_001,1965711,2/21/14,33846,0.32,Check TPH 2014
231,Tienda PHONE HOUSE CC Area Central (Sntiago),15703,SANTIAGO DE COMPOSTELA,908,A CORUÑA,0109_001,1965712,2/24/14,30180,0.5607,Check TPH 2014
247,Tienda PHONE HOUSE CC Carrefour Lugo (Lugo),27004,LUGO,908,LUGO,0109_001,1965713,2/24/14,33710,0.38,Check TPH 2014
258,Tienda  PHONE HOUSE - CC Cuatro Caminos(Coruña),15006,A CORUÑA,908,A CORUÑA,0109_001,1965714,2/20/14,33846,0.19,Check TPH 2014
273,Tienda PHONE HOUSE Real 119 (Ferrol),15402,FERROL,908,A CORUÑA,0109_001,1965715,2/22/14,31559,0.4007,Check TPH 2014
348,Tienda PHONE HOUSE CC Las Termas (Lugo),27003,LUGO,908,LUGO,0109_001,1965716,2/24/14,33710,0.33,Check TPH 2014
366,Tienda PHONE HOUSE Senra 14 (Santiago Comp.),15702,SANTIAGO DE COMPOSTELA,908,A CORUÑA,0109_001,1965717,2/24/14,30180,0.5607,Check TPH 2014
374,Tienda PHONE HOUSE CC Gran Vía de Vigo,36210,VIGO,908,PONTEVEDRA,0109_001,1965718,2/25/14,29100,0.33,Check TPH 2014
386,Tienda PHONE HOUSE CC A Barca (Pontevedra),36005,POIO,908,PONTEVEDRA,0109_001,1965719,2/21/14,31441,0.2,Check TPH 2014
412,Tienda PHONE HOUSE CC Carrefour Pontevedra,36143,PONTEVEDRA,908,PONTEVEDRA,0109_001,1965720,2/26/14,33902,0.39,Check TPH 2014
472,Tienda  PHONE HOUSE - CC Alcampo Vigo II (Vigo),36214,VIGO,908,PONTEVEDRA,0109_001,1965721,2/26/14,29100,0.25,Check TPH 2014
476,Tienda PHONE HOUSE CC A Laxe (Vigo),36202,VIGO,908,PONTEVEDRA,0109_001,1965722,2/20/14,29100,0.11,Check TPH 2014
495,Tienda PHONE HOUSE CC Espacio Coruña(Coruña),15008,A CORUÑA,908,A CORUÑA,0109_001,1965723,2/21/14,33846,0.6476,Check TPH 2014
505,Tienda PHONE HOUSE CC Travesía d Vigo (Vigo),36207,VIGO,908,PONTEVEDRA,0109_001,1965724,2/20/14,31121,0.16,Check TPH 2014
542,Tienda PHONE HOUSE CC AS CANCELAS WL(SANT,15703,SANTIAGO DE COMPOSTELA,908,A CORUÑA,0109_001,1965725,2/24/14,30180,0.5407,Check TPH 2014
580,Tienda PHONE HOUSE CC Marineda City (Coruña),15008,A CORUÑA,908,A CORUÑA,0109_001,1965726,2/22/14,33846,0.3807,Check TPH 2014
583,Tienda  PHONE HOUSE - CC Carrefour A Coruña,15008,A CORUÑA,908,A CORUÑA,0109_001,1965727,2/20/14,33846,0.41,Check TPH 2014
7001,Tienda PHONE HOUSE CC Alcampo (Coruña) W,15009,PALAVEA,908,A CORUÑA,0109_001,1965728,2/20/14,33846,0.27,Check TPH 2014
