COD_LOC,NOMBRE_LOC,CP,POBLACION,OFICINA,PROVINCIA,COD_PROY,ID_EVALUACION,Fecha de ejecucion,COD_AUDITOR,RESULTADO,TITULO_CUESTIONARIO
960,BISABIS TELECOMUNICACIONES,3680,ASPE,905,ALICANTE,0457_003,1963895,2/19/14,A29418,1,ESPECIALISTAS PROCESOS - P6 (13.14)
1012,"SOCIPHONE, S.L.",3710,CALPE,905,ALICANTE,0457_003,1963896,2/24/14,A29418,0.9761,RESUMEN ESPECIALISTAS PEC - P6 (13.14)
1012,"SOCIPHONE, S.L.",3710,CALPE,905,ALICANTE,0457_003,1963897,2/24/14,A29418,1,ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
1012,"SOCIPHONE, S.L.",3710,CALPE,905,ALICANTE,0457_003,1963898,2/24/14,A29418,1,ESPECIALISTAS PROCESOS - P6 (13.14)
1420,"DITELE SPAIN, S.L.U",3600,ELDA,905,ALICANTE,0457_003,1963899,2/19/14,A29418,0.9347,RESUMEN ESPECIALISTAS PEC - P6 (13.14)
1420,"DITELE SPAIN, S.L.U",3600,ELDA,905,ALICANTE,0457_003,1963900,2/19/14,A29418,1,ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
1420,"DITELE SPAIN, S.L.U",3600,ELDA,905,ALICANTE,0457_003,1963901,2/19/14,A29418,0.985,ESPECIALISTAS PROCESOS - P6 (13.14)
1429,"GRUPO MOVIL CONECTATE, S.L",3660,NOVELDA,905,ALICANTE,0457_003,1963902,2/19/14,A29418,0.6615,RESUMEN ESPECIALISTAS PEC - P6 (13.14)
1429,"GRUPO MOVIL CONECTATE, S.L",3660,NOVELDA,905,ALICANTE,0457_003,1963903,2/19/14,A29418,0.9419,ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
1429,"GRUPO MOVIL CONECTATE, S.L",3660,NOVELDA,905,ALICANTE,0457_003,1963904,2/19/14,A29418,0.95,ESPECIALISTAS PROCESOS - P6 (13.14)
1597,STAND -- EXPERIS ECI CIUDAD DE ELCHE,3204,ELCHE,905,ALICANTE,0457_003,1963905,2/18/14,A29418,0.824,RESUMEN ESPECIALISTAS PEC - P6 (13.14)
1597,STAND -- EXPERIS ECI CIUDAD DE ELCHE,3204,ELCHE,905,ALICANTE,0457_003,1963906,2/18/14,A29418,0.8667,ESPECIALISTAS IMAGEN ECI - P6 (13.14)
1597,STAND -- EXPERIS ECI CIUDAD DE ELCHE,3204,ELCHE,905,ALICANTE,0457_003,1963907,2/18/14,A29418,0.7883,ESPECIALISTAS PROCESOS (ECI) - P6 (13.14)
60,ALICANTE - CC Gran Vía,3015,Alicante,905,ALICANTE,0457_002,1963908,2/28/14,A29418,0.9023,RESUMEN FFQQ PEC - P6 (13.14)
60,ALICANTE - CC Gran Vía,3015,Alicante,905,ALICANTE,0457_002,1963909,2/28/14,A29418,0.9688,FFQQ ANTIGUA IMAGEN - P6 (13.14)
60,ALICANTE - CC Gran Vía,3015,Alicante,905,ALICANTE,0457_002,1963910,2/28/14,A29418,0.95,FFQQ PROCESOS - P6 (13.14)
61,FINESTRAT - CC La Marina,3509,Finestrat,905,ALICANTE,0457_002,1963911,3/18/14,A29418,0.7,RESUMEN FFQQ PEC - P6 (13.14)
67,ALCOY - CC Alzamora,3804,Alcoy,905,ALICANTE,0457_002,1963914,2/20/14,A29418,0.9301,RESUMEN FFQQ PEC - P6 (13.14)
67,ALCOY - CC Alzamora,3804,Alcoy,905,ALICANTE,0457_002,1963915,2/20/14,A29418,0.8676,FFQQ ANTIGUA IMAGEN - P6 (13.14)
67,ALCOY - CC Alzamora,3804,Alcoy,905,ALICANTE,0457_002,1963916,2/20/14,A29418,0.9108,FFQQ PROCESOS - P6 (13.14)
074b,BENIDORM - Valencia,3503,Benidorm,905,ALICANTE,0457_002,1963917,3/18/14,A29418,0.9701,RESUMEN FFQQ PEC - P6 (13.14)
074b,BENIDORM - Valencia,3503,Benidorm,905,ALICANTE,0457_002,1963918,3/18/14,A29418,0.9844,FFQQ ANTIGUA IMAGEN - P6 (13.14)
074b,BENIDORM - Valencia,3503,Benidorm,905,ALICANTE,0457_002,1963919,3/18/14,A29418,1,FFQQ PROCESOS - P6 (13.14)
10076,"10076 - AV. Circunvalación, nº 16",2640,ALMANSA,905,ALBACETE,0226_001,1963920,2/21/14,R29418,0.9143,CONTROL
