COD_LOC,NOMBRE_LOC,CP,POBLACION,OFICINA,PROVINCIA,COD_PROY,ID_EVALUACION,Fecha de ejecucion,COD_AUDITOR,RESULTADO,TITULO_CUESTIONARIO
829,ABOUT LINE S.L.,28850,TORREJÓN DE ARDOZ,919,MADRID,0457_003,2001216,5/12/14,R02042,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
0564a,"LUALBO, S.L",28017,MADRID,919,MADRID,0457_003,2001217,5/12/14,R01127,0.6167,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
36,MADRID - Glorieta Puerta de Toledo,28005,Madrid,919,MADRID,0457_002,2001220,5/22/14,R00013,0.9667,MYSTERY SHOPPER FFQQ P1 (MAY_14)
MAD 6,ATOCHA,28045,Madrid,919,MADRID,0263_001,2001223,5/29/14,R00096,0.9657,Cuestionario Crystal Octubre 2012
92,Madrid Princesa,28008,MADRID,919,MADRID,0457_001,2001226,5/12/14,R00031,0.97,MYSTERY SHOPPER TTPP PDV 2.0 P1 (MAY_14)
16,MADRID - Príncipe de Vergara,28016,Madrid,919,MADRID,0457_002,2001231,5/12/14,R02615,0.95,MYSTERY SHOPPER FFQQ P1 (MAY_14)
28,MADRID - López de Hoyos,28002,Madrid,919,MADRID,0457_002,2001232,5/12/14,R02031,0.7967,MYSTERY SHOPPER FFQQ P1 (MAY_14)
1560,STAND -- EXPERIS TIENDAS ECI CAMPO NACIONES,28042,MADRID,919,MADRID,0457_003,2001234,5/12/14,R02615,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1469,ABOUT LINE S.L.,28043,MADRID,919,MADRID,0457_003,2001235,5/21/14,R01127,0.8333,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
2803,MADRID LOS ALPES,28022,MADRID,919,MADRID,0586_001,2001284,4/2/14,107,0.8228,Check Mystery MARTIN MARTIN
181,CC GLORIES,8018,BARCELONA,919,BARCELONA,0111_001,2001285,5/13/14,31084,0.8,Cuest  Druni 2013
2804,MADRID VALDEBERNARDO,28032,MADRID,919,MADRID,0586_001,2001286,4/2/14,107,0.8178,Check Mystery MARTIN MARTIN
S083,FH IMAGINALIA,2007,ALBACETE,919,ALBACETE,0010_001,2001287,5/14/14,34287,0.859,Cuestionario Foster's Hollywood (May_14)
26,SEVILLA FACTORY -17-,41700,DOS HERMANAS,919,SEVILLA,0101_001,2001288,6/3/14,33562,0.9,Cuestionario Paco Martinez
