COD_LOC,NOMBRE_LOC,CP,POBLACION,OFICINA,PROVINCIA,COD_PROY,ID_EVALUACION,Fecha de ejecucion,COD_AUDITOR,RESULTADO,TITULO_CUESTIONARIO
1058,BREATEL S.L.U.,28941,Fuenlabrada,999,MADRID,0457_003,2011589,6/9/14,1160,0.8167,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
A-BA21,Lavazza /  A-BA21,28000,Madrid,999,MADRID,0201_001,2011595,6/5/14,83,0.01,Areas Compra Programada_Abril_2012
A-BA29,Starbucks /  A-BA29,28000,Madrid,999,MADRID,0201_001,2011599,6/5/14,1120,0.01,Areas Compra Programada_Abril_2012
A-BA41,Eating Point   /  A-BA41,28000,Madrid,999,MADRID,0201_001,2011601,6/5/14,83,0.01,Areas Compra Programada_Abril_2012
A-BA64,Adidas T1 Planta 1 Salidas Zona Embarque C,28000,Madrid,999,MADRID,0201_001,2011604,6/5/14,1120,0.01,Areas Compra Programada_Abril_2012
A-BA67,Sibarum/ A-BA67,28000,Madrid,999,MADRID,0201_001,2011605,6/5/14,83,0.01,Areas Compra Programada_Abril_2012
A-BA73,Parfois – T1 Planta 1 Salidas Zona Embarque B,28000,Madrid - carrada Abril 2013,999,MADRID,0201_001,2011606,6/5/14,1120,0.01,Areas Compra Programada_Abril_2012
A-BA92,ANDALE,28000,Barajas,999,MADRID,0201_001,2011609,6/5/14,83,0.01,Areas Compra Programada_Abril_2012
A-BA94,BRILIOLE BAR,28000,Barajas,999,MADRID,0201_001,2011610,6/5/14,1120,0.005,Areas Compra Programada_Abril_2012
A-BA68,The Sweet Market  / A-BA68,28000,Madrid,999,MADRID,0201_001,2011611,6/5/14,83,0.01,Areas Compra Programada_Abril_2012
0816a,SAFETY SISTEM AND TELECOM S.L.,28670,VILLAVICIOSA DE ODÓN,999,MADRID,0457_003,2011618,6/6/14,R00096,0.9,MYSTERY SHOPPER SERVICIO ESPECIALISTA P2 (JUN_14 )
18,BOADILLA DEL MONTE - Infante Don Luis,28660,Boadilla del Monte,999,MADRID,0457_002,2011620,6/6/14,R02031,0.75,MYSTERY SHOPPER FFQQ P2 (JUN_14)
15,POZUELO - Europa,28224,Pozuelo de Alarcon,999,MADRID,0457_002,2011622,6/6/14,R02031,0.7167,MYSTERY SHOPPER FFQQ P2 (JUN_14)
7,MARTIANEZ,38400,Puerto de la Cruz,999,SANTA CRUZ DE TENERIFE,447_001,2011627,6/14/14,33379,0.6673,Fund Grube Mystery
6,CHHABRIA LAGO,38400,Puerto de la Cruz,999,SANTA CRUZ DE TENERIFE,447_001,2011628,6/14/14,33379,0.716,Fund Grube Mystery
18,VISTASUR,38660,Playa de las Américas. Arona,999,SANTA CRUZ DE TENERIFE,447_001,2011630,6/14/14,66844,0.5608,Fund Grube Mystery
6,CHHABRIA LAGO,38400,Puerto de la Cruz,999,SANTA CRUZ DE TENERIFE,447_001,2011633,6/10/14,32937,0.808,Fund Grube Mystery
7,MARTIANEZ,38400,Puerto de la Cruz,999,SANTA CRUZ DE TENERIFE,447_001,2011636,6/10/14,66844,0.9552,Fund Grube Mystery
CI37,UCI CINEMA LISBOA,8000,Lisboa,999,EXTRANJERO,0132_1,2011665,6/8/14,portugal,0.9595,Cuestionario Cinesa
CO23,LUSOMUNDO NORTE SHOPPING,8000,CUSTÓIAS MTS - Oporto,999,EXTRANJERO,0132_1,2011667,6/14/14,portugal,0.9261,Cuestionario Cinesa
CO3,ALVALAXIA SPORTING,8000,Lisboa,999,EXTRANJERO,0132_1,2011668,6/7/14,portugal,0.9183,Cuestionario Cinesa
E-MD1,Medas /  E-MD1,43005,Altafulla,999,TARRAGONA,0201_001,2011670,6/6/14,R29502,0.01,Areas Compra Programada_Abril_2012
E-MD2,Mèdol (tienda),43005,Altafulla,999,TARRAGONA,0201_001,2011671,6/6/14,R29530,0.01,Areas Compra Programada_Abril_2012
