COD_LOC,NOMBRE_LOC,CP,POBLACION,OFICINA,PROVINCIA,COD_PROY,ID_EVALUACION,Fecha de ejecucion,COD_AUDITOR,RESULTADO,TITULO_CUESTIONARIO
7402,"SEAT MOTOR ESPAÑA, S.A.",8028,BARCELONA,921,BARCELONA,0588_001,2002844,5/27/14,R00050,0.767,Cuestionario Seat Postventa España 2014
3263,"AUTOMOTOR Y SERVICIOS, S.A.",25194,LLEIDA,921,LLEIDA,0588_001,2002845,6/2/14,R00050,0.7476,Cuestionario Seat Postventa España 2014
4,"LIMPIEZA ECOLOGICA, S.L. DM",28770,COLMENAR VIEJO,921,MADRID,EUROMADI_NF,2002846,5/12/14,P_ORDEN,0.9944,EUROMADI AUDITORÍA EVALUACIÓN PROVEEDORES-NON FOOD
939,939,17230,PALAMOS,921,GIRONA,0200_001,2002848,5/20/14,R29530,0.85,DIA SAN ANTONIO COMPRA PROGRAMADA
464,"GSM BAHIA, S.L.U.",6800,MÉRIDA,921,BADAJOZ,0457_003,2002849,5/19/14,r00063,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
03430b,NUEVA AUTOMOCION,6800,MÉRIDA,921,BADAJOZ,0524_004,2002850,5/19/14,r00063,0.7807,Cuestionario Seat Toledo 2º Trim 2014
OP006,"CONCESIÓN EXTREMEÑA DE VEHÍCULOS, S.A. (CONVESA)",6008,BADAJOZ,921,BADAJOZ,0524_004,2002856,5/19/14,r00063,0.5615,Cuestionario Comp. Seat Toledo 2º Trim 2014
653,"CENTROMOVILESBADAJOZ, S.L",6100,OLIVENZA,921,BADAJOZ,0457_003,2002858,5/19/14,r00063,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
97,STAND -  CARREFOUR BADAJOZ  VALVERDE,6000,BADAJOZ,921,BADAJOZ,0457_004,2002862,5/19/14,a02401,0.9328,RESUMEN CONSUMO PEC P1 (14.15)
97,STAND -  CARREFOUR BADAJOZ  VALVERDE,6000,BADAJOZ,921,BADAJOZ,0457_004,2002863,5/19/14,a02401,1,CONSUMO IMAGEN CARREFOUR - P1 (14.15)
97,STAND -  CARREFOUR BADAJOZ  VALVERDE,6000,BADAJOZ,921,BADAJOZ,0457_004,2002864,5/19/14,a02401,1,CONSUMO PROCESOS - P1 (14.15)
1570,STAND -- EXPERIS ECI CONQUISTADORES,6004,BADAJOZ,921,BADAJOZ,0457_003,2002868,5/19/14,a02401,0.9212,RESUMEN ESPECIALISTAS ECI PEC P1 (14.15)
1570,STAND -- EXPERIS ECI CONQUISTADORES,6004,BADAJOZ,921,BADAJOZ,0457_003,2002869,5/19/14,a02401,1,ESPECIALISTAS IMAGEN ECI - P1 (14.15)
1570,STAND -- EXPERIS ECI CONQUISTADORES,6004,BADAJOZ,921,BADAJOZ,0457_003,2002870,5/19/14,a02401,0.975,ESPECIALISTAS PROCESOS (ECI) - P1 (14.15)
474,"CENTROMOVILESBADAJOZ, S.L",6200,ALMENDRALEJO,921,BADAJOZ,0457_003,2002872,5/19/14,a02401,0.88,RESUMEN ESPECIALISTAS PEC - P1 (14.15)
474,"CENTROMOVILESBADAJOZ, S.L",6200,ALMENDRALEJO,921,BADAJOZ,0457_003,2002873,5/19/14,a02401,1,ESPECIALISTAS NUEVA IMAGEN - P1 (14.15)
474,"CENTROMOVILESBADAJOZ, S.L",6200,ALMENDRALEJO,921,BADAJOZ,0457_003,2002874,5/19/14,a02401,0.945,ESPECIALISTAS PROCESOS - P1 (14.15)
I001,IMAGINARIUM GLORIAS,8018,BARCELONA,921,BARCELONA,0593_001,2002876,5/19/14,29664,0.7043,Cuestionario Imaginarium 2014
I002,IMAGINARIUM DIAGONAL MAR,8019,BARCELONA,921,BARCELONA,0593_001,2002877,5/19/14,29890,0.8452,Cuestionario Imaginarium 2014
17,Mollerussa,25230,Mollerussa,921,LLEIDA,0289_01,2002879,5/20/14,R29994,0.9436,PlusFresc Mystery 2013
688,688,25600,BALAGUER,921,LLEIDA,0198_001,2002880,5/20/14,R29994,0.8514,DIA LA SELVA C.P.
I001143,HERON CITY,28230,LAS ROZAS,921,MADRID,0010_005,2002920,5/22/14,31328,0.65,Cuestionario Burger King Zena (0114)
41,Línea - 41,28000,MADRID,921,MADRID,0270_002,2002931,5/19/14,R00031,0.9644,EMT - Recorridos 2014
121,Línea - 121,28000,MADRID,921,MADRID,0270_002,2002932,5/19/14,R02031,0.9211,EMT - Recorridos 2014
SP08,La Roca Village,8430,Barcelona,921,BARCELONA,0592_001,2002933,5/31/14,30549,0.9208,Cuestionario Mystery Pepe Jeans España_Portugal
SP13,C. C. Diagonal Mar,8019,Barcelona,921,BARCELONA,0592_001,2002936,5/30/14,33533,0.852,Cuestionario Mystery Pepe Jeans España_Portugal
