COD_LOC,NOMBRE_LOC,CP,POBLACION,OFICINA,PROVINCIA,COD_PROY,ID_EVALUACION,Fecha de ejecucion,COD_AUDITOR,RESULTADO,TITULO_CUESTIONARIO
183,TARRAGONA AVGDA. ROMA,43005,TARRAGONA,959,TARRAGONA,0456_1,2011286,6/11/14,33808,0.9,Cuestionario La Sirena
199,ESPAI GIRONES - CENTRE COMERCIAL,17190,SALT,959,GIRONA,0456_1,2011288,6/11/14,34008,0.84,Cuestionario La Sirena
24,MARTORELL,8760,MARTORELL,959,BARCELONA,0456_1,2011297,6/11/14,30617,0.91,Cuestionario La Sirena
25,PINEDA,8397,PINEDA,959,BARCELONA,0456_1,2011298,6/8/14,31930,0.9,Cuestionario La Sirena
27,MATARO 2,8303,MATARÓ,959,BARCELONA,0456_1,2011301,6/13/14,31930,0.94,Cuestionario La Sirena
31,BCN SARRIÀ,8034,BARCELONA,959,BARCELONA,0456_1,2011304,6/10/14,34053,0.76,Cuestionario La Sirena
44,BCN ALIGA,8014,BARCELONA,959,BARCELONA,0456_1,2011313,6/13/14,29720,0.89,Cuestionario La Sirena
46,SANT ADRIÀ,8930,SANT ADRIÀ DEL BESÓS,959,BARCELONA,0456_1,2011315,6/6/14,34061,0.95,Cuestionario La Sirena
52,VIC 1,8500,VIC,959,BARCELONA,0456_1,2011318,6/10/14,32205,0.885,Cuestionario La Sirena
59,LLEIDA 1,25003,LLEIDA,959,LLEIDA,0456_1,2011321,6/11/14,32085,0.8073,Cuestionario La Sirena
74,LLEIDA 2,25001,LLEIDA,959,LLEIDA,0456_1,2011326,6/12/14,32085,0.84,Cuestionario La Sirena
75,BADALONA 2,8911,BADALONA,959,BARCELONA,0456_1,2011327,6/11/14,127,0.88,Cuestionario La Sirena
86,LLEIDA 3,25005,LLEIDA,959,LLEIDA,0456_1,2011329,6/14/14,66840,0.97,Cuestionario La Sirena
98,SANT VICENÇ DELS HORTS,8620,SANT VICENÇ DELS HORTS,959,BARCELONA,0456_1,2011334,6/13/14,33996,0.86,Cuestionario La Sirena
TEST,TEST,28000,TEST,959,MADRID,0100_01,2011336,1/1/14,TEST,0,Cuestionario Mystery Pepe Jeans Republica Checa
CI3,ARTEA,48940,Leioa,959,VIZCAYA,0132_1,2011337,6/7/14,32158,0.9114,Cuestionario Cinesa
CI30,PARQUE PRINCIPADO,33429,Oviedo,959,ASTURIAS,0132_1,2011338,6/8/14,30840,0.8207,Cuestionario Cinesa
CI48,ABANDOIBARRA ZUBIARTE,48001,Bilbao,959,VIZCAYA,0132_1,2011341,6/8/14,33340,0.8518,Cuestionario Cinesa
CO35,YELMO BARAKALDO,48903,Barakaldo,959,VIZCAYA,0132_1,2011343,6/7/14,66695,0.9281,Cuestionario Cinesa
CO38,YELMO LOS PRADOS,33010,Oviedo,959,ASTURIAS,0132_1,2011344,6/15/14,2717,0.8773,Cuestionario Cinesa
49,VALLE REAL,39600,SANTANDER,959,CANTABRIA,0578_001,2011353,6/10/14,33555,0.76,CENTROS UNICO MYSTERY (JUN_14)
53,GARBERA,20017,SAN SEBASTIÁN,959,GUIPUZCOA,0578_001,2011355,6/12/14,R01140,0.7177,CENTROS UNICO MYSTERY (JUN_14)
114,TXINGUDI,20035,IRÚN,959,GUIPUZCOA,0578_001,2011357,6/12/14,R32801,0.8511,CENTROS UNICO MYSTERY (JUN_14)
51,MAXCENTER,48903,BARAKALDO,959,VIZCAYA,0578_001,2011360,6/11/14,32158,0.8511,CENTROS UNICO MYSTERY (JUN_14)
52,BILBONDO,48970,BASAURI,959,VIZCAYA,0578_001,2011361,6/13/14,66717,0.7558,CENTROS UNICO MYSTERY (JUN_14)
CO45,LAS ARENAS,35010,Las Palmas,959,"PALMAS, LAS",0132_1,2011373,6/15/14,32925,0.8532,Cuestionario Cinesa
CI11,EL MUELLE,35008,Las Palmas,959,"PALMAS, LAS",0132_1,2011374,6/8/14,31497,0.8401,Cuestionario Cinesa
11,PUERTO DEL CARMEN,35110,Tías (Lanzarote),959,"PALMAS, LAS",447_001,2011531,6/9/14,32770,0.89,Fund Grube Mystery
11,PUERTO DEL CARMEN,35110,Tías (Lanzarote),959,"PALMAS, LAS",447_001,2011532,6/10/14,32770,0.649,Fund Grube Mystery
11,PUERTO DEL CARMEN,35110,Tías (Lanzarote),959,"PALMAS, LAS",447_001,2011533,6/11/14,66715,1,Fund Grube Mystery
12,FARIONES,35110,Lanzarote,959,"PALMAS, LAS",447_001,2011534,6/9/14,32770,0.89,Fund Grube Mystery
