COD_LOC,NOMBRE_LOC,CP,POBLACION,OFICINA,PROVINCIA,COD_PROY,ID_EVALUACION,Fecha de ejecucion,COD_AUDITOR,RESULTADO,TITULO_CUESTIONARIO
177,CC PARQUE ALMENARA,30813,CAMPILLO (LORCA),910,MURCIA,0111_001,1967987,3/3/14,33374,1,Cuest  Druni 2013
188,CC ATALAYAS,30007,MURCIA,910,MURCIA,0111_001,1967988,3/4/14,33481,1,Cuest  Druni 2013
193,MURCIA-AV CONSTITUCION,30008,MURCIA,910,MURCIA,0111_001,1967989,2/26/14,2790,1,Cuest  Druni 2013
233,AGUILAS,30880,AGUILAS,910,MURCIA,0111_001,1967990,3/3/14,33374,1,Cuest  Druni 2013
240,CC DOS MARES 2,30370,SAN JAVIER,910,MURCIA,0111_001,1967991,2/27/14,29778,1,Cuest  Druni 2013
237,CC XANADU,28939,ARROYOMOLINOS,910,MADRID,0111_001,1967992,2/24/14,32098,0.8,Cuest  Druni 2013
245,CC EL DELEITE,28300,ARANJUEZ,910,MADRID,0111_001,1967993,2/25/14,34178,1,Cuest  Druni 2013
246,CC LUZ DEL TAJO,45007,TOLEDO,910,TOLEDO,0111_001,1967994,2/28/14,R00028,0.933,Cuest  Druni 2013
247,CC PARQUE CORREDOR,28850,TORREJON DE ARDOZ,910,MADRID,0111_001,1967995,2/26/14,524,0.8,Cuest  Druni 2013
249,CC PLAZA ESTACION,28943,FUENLABRADA,910,MADRID,0111_001,1967996,2/26/14,32098,1,Cuest  Druni 2013
9,FIGUERES,17600,FIGUERES,910,GIRONA,0111_001,1967997,3/3/14,34063,1,Cuest  Druni 2013
10,HOSPITALET,8902,HOSPITALET,910,BARCELONA,0111_001,1967998,2/28/14,32942,0.933,Cuest  Druni 2013
12,MATARO,8302,MATARO,910,BARCELONA,0111_001,1967999,2/28/14,34023,1,Cuest  Druni 2013
14,PRAT  1,8820,PRAT,910,BARCELONA,0111_001,1968000,2/28/14,31084,0.867,Cuest  Druni 2013
